	0
elev	3.975
feed	3.975
panel	3.975
attent	3.973
comparison	3.973
classifi	3.973
lay	3.973
rhizobia	3.973
glycine_max	3.973
race	3.973
wherea	3.973
parallel	3.973
edibl	3.973
rnai	3.973
reduct	3.973
tandem	3.97
anchor	3.97
tree	3.97
scale	3.97
remark	3.97
oilse	3.97
examin	3.97
ratio	3.97
repressor	3.97
geograph	3.97
unlik	3.969
nucleu	3.969
white	3.969
apic	3.969
minim	3.969
heterodera	3.969
seem	3.967
end	3.967
underw	3.967
place	3.967
support	3.967
land	3.967
fertil	3.967
spectrometri	3.967
alter	3.967
explor	3.965
assign	3.965
salicyl	3.965
align	3.965
degre	3.965
distanc	3.965
sd	3.965
seri	3.965
poplar	3.963
fixat	3.963
photosynthesi	3.963
exclus	3.963
captur	3.963
grass	3.963
dehydr	3.96
allow	3.96
carbon	3.96
step	3.96
isoflavonoid	3.96
clearli	3.96
knowledg	3.96
order	3.96
frame	3.96
effector	3.96
meet	3.96
contig	3.96
whether	3.96
chines	3.96
turn	3.959
complementari	3.959
adopt	3.959
serin	3.959
trigger	3.959
evid	3.959
meanwhil	3.959
mainten	3.959
web	3.959
expans	3.959
perspect	3.959
percentag	3.959
seven	3.959
jasmon	3.957
follow	3.957
extern	3.957
nutrit	3.957
mainli	3.957
down	3.957
causal	3.955
importantli	3.955
rt	3.955
lost	3.955
nac	3.955
lipid	3.955
prove	3.955
coincid	3.955
symbiot	3.955
same	3.955
phenylpropanoid	3.955
pre	3.953
fluoresc	3.953
poor	3.953
opposit	3.953
articl	3.953
desaturas	3.953
defenc	3.953
algorithm	3.953
doe	3.953
period	3.953
featur	3.951
favor	3.951
describ	3.951
height	3.951
residu	3.951
william	3.951
transmembran	3.951
vivo	3.951
ultim	3.951
tightli	3.951
herein	3.95
amplifi	3.95
greenhous	3.95
abov	3.95
simul	3.95
score	3.95
excel	3.95
discuss	3.947
gs	3.947
merr	3.947
sub	3.945
delet	3.945
ft	3.945
alga	3.945
usual	3.945
moreov	3.945
appar	3.945
global	3.945
partner	3.945
dehydrogenas	3.943
zinc	3.943
eight	3.943
photosynthet	3.943
ro	3.943
main	3.943
www	3.943
field	3.941
calcium	3.941
clarifi	3.941
visual	3.941
wt	3.941
phytophthora	3.941
veget	3.941
secret	3.941
uniqu	3.941
populu	3.94
pigment	3.94
acquir	3.94
polyploidi	3.94
valid	3.94
mosaic	3.94
recognit	3.938
nicotiana	3.938
pivot	3.938
experi	3.938
epistat	3.938
thousand	3.938
retent	3.938
free	3.938
random	3.938
perenni	3.936
comprehens	3.936
cotyledon	3.936
tropic	3.936
go	3.936
prefer	3.936
togeth	3.936
machineri	3.936
ad	3.936
program	3.934
predomin	3.934
via	3.934
mitochondri	3.934
fungu	3.934
latitud	3.934
unravel	3.934
linol	3.934
obtain	3.932
tran	3.932
green	3.932
unit	3.932
ph	3.932
summari	3.932
deploy	3.932
exon	3.932
phakopsora_pachyrhizi	3.932
agricultur	3.932
retrotransposon	3.932
unigen	3.932
affin	3.932
gibberellin	3.932
fabacea	3.932
insect	3.93
reflect	3.93
act	3.93
glycolysi	3.93
mad	3.93
remov	3.93
maximum	3.93
segreg	3.928
action	3.928
enzymat	3.928
hypersensit	3.928
prior	3.928
symbiosi	3.926
although	3.926
distinct	3.926
monocot	3.926
basal	3.926
design	3.926
lead	3.926
dri	3.926
hormon	3.926
carri	3.924
rp	3.924
ligas	3.922
splice	3.922
endoplasm	3.922
attract	3.922
attempt	3.922
characteris	3.922
isol	3.922
facilit	3.922
e3	3.922
bound	3.922
human	3.922
literatur	3.922
cytoplasm	3.92
advanc	3.92
redox	3.92
temperatur	3.92
accuraci	3.92
north	3.918
natur	3.918
disrupt	3.918
longer	3.918
resultsa	3.918
densiti	3.918
immun	3.918
n2	3.918
deciph	3.918
reticulum	3.918
trend	3.918
appropri	3.916
experienc	3.916
paralog	3.916
similarli	3.916
strand	3.916
asr	3.916
hypocotyl	3.914
nutrient	3.914
age	3.914
space	3.912
inhibit	3.912
help	3.912
physiolog	3.91
randomli	3.91
increasingli	3.91
twenti	3.91
depend	3.91
raw	3.91
confid	3.908
mycorrhiz	3.908
counterpart	3.908
prolifer	3.908
scaveng	3.908
cytochrom	3.908
beadchip	3.906
progenitor	3.906
thu	3.906
transposon	3.906
invers	3.906
arbuscular	3.906
categori	3.906
embryogenesi	3.906
multi	3.904
biotic	3.904
belong	3.904
tend	3.904
cereal	3.904
lower	3.904
photoperiod	3.904
incompat	3.904
elong	3.904
absent	3.904
chickpea	3.904
markedli	3.902
reach	3.902
nonsynonym	3.902
give	3.902
consist	3.902
cas9	3.902
vigna	3.902
soy	3.902
shock	3.9
probe	3.9
requir	3.9
current	3.9
est	3.9
agrobacterium	3.898
herit	3.898
nevertheless	3.898
strategi	3.898
development	3.898
occur	3.898
rise	3.898
multigen	3.898
quantifi	3.896
am	3.896
atmospher	3.896
util	3.896
friendli	3.896
clue	3.896
until	3.896
smaller	3.896
oxidas	3.896
regularli	3.896
pleiotrop	3.896
old	3.896
cours	3.896
format	3.896
substrat	3.896
compat	3.896
bhlh	3.896
finger	3.895
when	3.895
index	3.895
bud	3.893
them	3.893
angiosperm	3.893
potato	3.893
satur	3.893
how	3.893
genic	3.893
dietari	3.893
basi	3.89
stimul	3.89
phosphat	3.89
introgress	3.89
insight	3.89
loop	3.89
treat	3.89
due	3.89
onlin	3.89
elimin	3.889
peke	3.889
palindrom	3.889
detoxif	3.889
updat	3.889
behind	3.889
anthocyanin	3.889
construct	3.889
tag	3.889
origin	3.887
exchang	3.887
gwa	3.887
gb	3.887
self	3.887
lupin	3.885
test	3.885
futur	3.885
mode	3.885
peak	3.885
label	3.885
forag	3.885
male	3.885
hybrid	3.885
assimil	3.885
ssp	3.885
meristem	3.883
alkalin	3.883
microb	3.883
refin	3.883
threat	3.883
proper	3.883
million	3.883
conclusionsthi	3.883
hold	3.883
oomycet	3.883
block	3.88
underli	3.88
rich	3.88
confirm	3.879
possibl	3.879
ap2	3.879
excess	3.879
asia	3.879
synthet	3.879
flavonoid	3.879
layer	3.879
risk	3.879
