    entropy_rank    experimental_rank
secretori    3325    3848
empir    2505    2171
glucanas    3518    4281
hs    3907    4916
ct    4199    5880
exud    2650    2475
insecticid    3714    4808
homeodomain    2469    2121
exot    2648    2473
antimicrobi    3252    3798
proteasom    3040    3255
cuscuta    5662    6944
rhizogen    2366    1933
bri1    3925    5085
thirteen    2368    1935
equival    2277    1755
syncytium    3701    4797
rboh    4657    6420
solexa    3047    3272
uniform    3041    3256
pulvinu    4472    6224
corrobor    2275    1765
autom    2599    2353
biotroph    2468    2092
wood    4658    6419
helicas    5029    6654
pk    5785    7008
perfect    2363    1931
look    2279    1757
hous    2359    1929
hour    2837    2860
care    2274    1764
hot    2781    2729
iso    3322    3844
horticultur    3674    4763
bitter    4227    5942
bisulfit    2836    2855
chlorid    3253    3799
horizont    2838    2859
pdh1    5792    6989
regress    2454    1998
maf    2452    1996
rav    5500    6877
nad    2879    2844
microscop    2543    2193
optimum    2544    2194
ir    4596    6269
pri    4878    6480
li    4443    5987
polygalacturonas    3487    4206
pav    5041    6633
media    3031    3214
osmoprotect    4870    6450
la    5057    6656
notion    2340    1813
itself    2339    1825
lot    2684    2418
lsd    7000    7174
intriguingli    2338    1812
margin    2453    1997
relax    2775    2654
nut    4107    5158
nue    5055    6655
reinforc    2341    1826
memori    4267    5939
priorit    2931    2887
lysm    4178    5812
pseudomona    2545    2165
primordium    4105    5155
ndr1    6881    7164
pm    4156    5808
mymiv    7036    7185
flavon    4678    6413
hairpin    2946    2973
cesa    5058    6657
cumul    3131    3285
topic    2685    2452
undesir    2343    1814
agrobacterium_rhizogen    4151    5161
cutin    3403    3847
technic    2455    2002
subgenu    3302    3796
genechip    3334    3837
chelat    2449    1994
graph    3588    4270
charleston    2541    2191
exemplifi    2337    1824
rout    2546    2174
tabacum    2342    1827
colour    3474    4156
snrk2    4585    6252
tripl    2834    2790
graft    3013    3154
dt2008    6588    7133
desi    3969    5100
tubulin    5122    6724
tw    7116    7196
sbdv    6564    7131
syntaxin    3716    4761
unfavor    2344    1815
sine    6812    7138
former    2450    1995
arc    5464    6835
untreat    2835    2791
extant    2644    2364
tendenc    2683    2445
aconitas    4106    5157
habitat    2451    2001
hypothet    2734    2573
axi    3405    3859
cotyledonari    3130    3384
glucosidas    2945    2972
glyphos    5056    6653
hydrolyz    2542    2192
rest    2592    2250
avr1d    6988    7167
dock    2733    2583
yl    5483    6849
fukuyutaka    3089    3245
yabbi    5015    6592
rpp    3930    4925
upland    2776    2667
conclusionsthes    2336    1823
dgat1    3633    4291
subtilisin    3896    4869
guar    6532    7111
biologist    2540    2190
hsp90    5683    6908
augment    2539    2189
unexpectedli    2434    1886
unrel    2525    2071
unexpect    2631    2270
sixteen    2524    2070
depress    3483    3977
breakdown    2773    2570
depict    2425    1892
vein    3718    4721
quit    2523    2069
gray    3936    4895
nn1138    2832    2675
h2    3096    3215
kabuli    4627    6260
gγ    4154    5150
biophoton    4682    6390
gramen    4601    6215
di    2983    2977
ndw    4218    5834
transposas    4266    5878
bs    4684    6357
coloc    2422    1880
gh3    5070    6629
pot    2522    2061
gmap2    7119    7191
cucumi    2628    2258
mir156    4571    6006
minimum    2679    2344
thylakoid    3664    4287
conclusionthi    2423    1891
rbr    7104    7186
glb    6896    7158
cuc    4108    5128
polygen    2771    2568
sexual    3163    3405
creation    2424    1881
metric    3024    3038
island    3350    3806
server    2833    2703
ploidi    3484    3917
colinear    2831    2702
integu    5833    7017
sci    2774    2571
bundl    2947    2877
galactinol    3137    3262
c1    3136    3261
gmpt7    7091    7179
photoreceptor    3134    3254
intercellular    3023    3037
master    2428    1894
mutual    2429    1895
nonsens    2772    2569
multidrug    2730    2478
msn    6510    7078
dcl    4470    5988
trifoli    2433    1870
cgi    5118    6668
pictur    2431    1884
talen    2729    2477
meloidogyn    2521    2060
tuberosum    2630    2259
grf    4983    6465
virtual    2530    2062
pear    5039    6588
qdrl    5698    6896
lincrna    5681    6880
imbibit    3133    3253
revert    3916    4860
older    2770    2567
dre    3173    3458
helic    2520    2068
ecotyp    3152    3283
heterochromat    2629    2269
ketoacyl    3097    3220
laboratori    2427    1882
volum    2632    2260
asa    4570    6010
stamen    3250    3522
arsen    3490    4172
strike    2432    1885
aroma    4574    6012
lux    4606    6228
hook    5052    6604
albu    3300    3580
hl    6571    7101
disturb    2426    1893
fern    3094    3218
ineffici    2727    2466
verif    2526    2072
axe    4461    5952
perhap    2430    1883
spx    4982    6463
herbivori    3095    3219
expens    2527    2073
aerenchyma    7218    7217
orchestr    2528    2074
har    2678    2343
harbour    2519    2067
author    2680    2339
pathosystem    2728    2476
sodium    2529    2075
rpp2    3932    4892
ala    4664    6327
air    2982    2874
cml    6908    7142
distant    2489    1937
geneticist    2491    1947
pamp    3160    3243
cytoskeleton    3868    4748
spatholobus_suberectu    7103    7175
organis    2981    2873
check    2875    2669
alsv    4899    6430
dc    3180    3389
gata    6802    7098
psi    3873    4749
gmap1    4257    5821
intrigu    2492    1948
ton    2828    2591
zl    4689    6332
glycerol    2827    2590
methylesteras    3103    3137
methanesulfon    2497    1952
sole    2614    2156
cooper    2607    2151
metazoan    3298    3489
sensor    2719    2351
gli    3297    3498
absorb    3159    3242
latitudin    3102    3064
p1    3652    4227
yr    3406    3791
confin    2606    2150
il    5835    6996
sought    2502    1956
leakag    2494    1939
messageth    2496    1951
posttransl    2943    2807
retard    2501    1955
analog    2716    2358
fiskebi    5502    6808
adp    3867    4747
invad    2718    2360
tof    3161    3244
f8    2609    2153
hpi    3546    3922
catalog    2605    2149
sc7    3973    4889
themselv    2616    2140
viridiplanta    2720    2350
determinaci    4273    5856
gmsoc1    6904    7140
jp    2612    2155
mapman    3278    3476
detriment    2488    1945
upr    5800    6950
institut    2611    2154
nineteen    2498    1938
pronounc    2500    1954
synchron    2615    2157
astragalu    5892    7018
junction    2493    1949
edg    2717    2359
arg    3594    4204
night    3578    4171
phosphoenolpyruv    2761    2448
lose    2495    1950
inorgan    2610    2138
enough    2490    1946
nanopor    3104    3065
binari    3798    4313
antagonist    2604    2148
europ    2760    2441
axillari    2980    2872
banana    5689    6846
beam    5044    6565
pcg    6628    7087
silver    5049    6567
onc    2499    1953
decis    2759    2440
gr    4666    6253
super    3138    3226
phakopsora    2613    2139
sn    4671    6265
cacta    4258    5820
entri    2608    2152
subtyp    4871    6274
sex    4214    5135
diffus    2940    2713
fw    3591    4148
driver    2700    2235
cpa    5473    6693
subtilas    5791    6890
surprisingli    2588    2020
laccas    5818    6946
sometim    2587    2019
fusarium_oxysporum    6512    7022
soft    4191    5086
purin    3303    3460
jaz    4099    4893
gland    6864    7102
ptr    7159    7181
matter    3035    2954
flg22    5042    6449
matern    3101    3022
spectra    3446    3793
likewis    2702    2229
exceed    2578    2012
definit    2699    2234
talk    2708    2223
syncytia    3282    3407
medic    2810    2461
poz    7120    7176
della    5823    6949
mapkkk    5736    6844
cuticl    3516    3883
rainfal    2707    2239
demethylas    4100    4894
proof    2706    2230
endonucleas    2808    2459
simplifi    2815    2465
mannanas    6562    7048
sow    3233    3248
precipit    2705    2238
gigantea    3919    4741
messagea    2582    2015
fl    5632    6788
mesophyl    2811    2462
idea    2580    2006
cp    3918    4736
utilis    2846    2530
asparagin    3597    4149
routin    2586    2018
nrp    5023    6433
notic    2813    2464
rr    4216    5140
hallmark    2579    2013
rsc3q    6907    7132
cosegreg    2698    2227
gut    4466    5866
v2    3234    3249
ben    7044    7162
sba    4900    6396
ingredi    2701    2228
nh    5043    6451
gpat    5878    6981
goldeng    3034    2953
br16    4604    5975
gmwri1a    5802    6891
brief    2576    2011
ncrna    4444    5838
uncondit    4438    5817
sb    4094    4882
nucleic    2703    2236
obscur    2584    2016
arboreum    2807    2458
apart    2575    2010
abcg    4663    6198
hydroxyl    2809    2460
pachyrhizi    2814    2446
pace    2704    2237
hwangkeum    4464    5865
aco4    6511    7021
hsp20    5881    6983
parenchyma    4202    5127
wue    4573    5897
aflp    4603    5974
african    3445    3790
wip    7121    7177
winter    3911    4719
hit    2844    2565
amen    2574    2009
angulari    2939    2712
anion    3033    2945
pdc    7200    7203
websit    2816    2453
antixenosi    3707    4267
ao    4572    5894
c18    3336    3526
pure    4246    5159
transduc    2845    2566
conclusionsa    2577    1999
interplay    2581    2014
microscopi    2583    2000
motor    3971    4853
pif4    7045    7161
constantli    2697    2233
min    3281    3406
trajectori    2709    2240
plc    5784    6889
cca1    5022    6432
physicochem    2585    2017
phya    3972    4854
modular    2812    2463
mir396    6803    7073
mild    2941    2707
canola    4465    5863
canadian    3869    4426
cortex    3680    4259
organism    2796    2310
organellar    3347    3470
prunu    4482    5825
wit    2959    2677
phvul    4580    5876
concert    2785    2318
amborella    4551    5854
wox    5692    6787
onion    2665    2099
euchromat    2923    2572
etiol    3818    4284
ethylmaleimid    2958    2676
compens    2784    2317
squamosa    2800    2329
tnl    5697    6799
epistasi    3027    2840
anthracnos    4092    4847
mir159    5691    6786
pti    3348    3471
spad    4193    4906
legumeip    6513    7000
laser    2662    2084
abort    3236    3209
contrari    2786    2319
cqscn    5732    6825
thoroughli    2675    2106
favour    2924    2578
p3    4250    5129
accomplish    2783    2316
lb    5893    6965
sophist    2799    2328
messeng    2663    2085
actin    3663    4151
yc4    5815    6884
polym    2926    2586
fad3a    4439    5164
fad    4215    5103
adh    5098    6456
lecrlk    6890    7090
tertiari    2801    2330
afford    2921    2577
microsynteni    2793    2324
commod    2659    2096
stay    4158    4891
stack    3239    3165
ms6    6807    7057
no3    4685    6018
dioxygenas    2787    2320
trap    4155    4877
trehalos    4651    5956
bioassay    3677    4207
biochemistri    3093    2884
uninfect    2927    2587
book    4192    4905
preced    2667    2101
descend    2660    2097
ddmp    5690    6785
combat    2658    2095
phosphopeptid    3933    4728
catalogu    3346    3477
unequ    2676    2107
necessit    2664    2098
caroten    4638    5955
brought    2657    2094
nation    2794    2325
nark    7212    7206
bug    5156    6630
ty1    4569    5855
chg    3237    3210
fg    6885    7088
tast    3679    4209
vernal    3934    4734
cognat    2922    2584
walp    2677    2089
mitot    3238    3211
steadi    2674    2105
meristemat    2925    2585
stigma    5117    6562
stm    7190    7190
pentatricopeptid    2666    2100
vulner    2803    2332
nutriti    2795    2326
vpe    4447    5804
e6    5474    6663
duranensi    3286    3252
art    2656    2093
coenzym    3803    4238
plan    2797    2327
visibl    2802    2331
npr1    4662    5986
atyp    3026    2839
ly    4093    4848
chl    5894    6974
diphosph    2788    2302
latifolia    7085    7159
germ    4667    5998
hkt    7042    7143
hm    4589    5895
ful    3819    4279
sativu    2672    2088
insid    2791    2305
respiratori    2670    2087
healthi    2790    2322
reniform    4219    5105
sinorhizobium_fredii    4467    5814
roch    2798    2311
gradient    2789    2321
gmirch    6886    7089
irt    7191    7194
quadrupl    3472    3582
serious    2673    2104
resultsto    2671    2103
joint    2792    2323
isoelectr    3028    2841
readili    2669    2086
globulin    3739    4228
hypomethyl    3678    4208
r5    5392    6632
instrument    2661    2083
intercrop    4098    4849
rubisco    4220    5106
gmpht1    5902    6993
heinong    3634    3901
ray    2668    2102
rag    5115    6484
cofactor    2888    2420
bioenergi    3315    3235
thermal    3974    4718
australia    3316    3236
lipas    2908    2410
antinutrit    3494    3745
discern    2748    2176
coumestrol    7123    7163
wspc    6898    7075
subtelomer    4584    5826
circular    2905    2433
elf4    5735    6789
grew    2750    2178
gmbzip1    7217    7210
forest    3015    2715
orchid    5025    6321
untransl    2758    2183
vasculatur    3051    2806
oppos    2756    2160
outperform    2897    2427
scheme    2911    2411
manufactur    3355    3388
gmgia    4456    5137
ti    5069    6403
r3    4201    4881
monogastr    3019    2719
graphic    2749    2177
vii    3317    3237
varieg    4088    4753
rps1    3670    3899
happen    2907    2435
stink    5787    6818
hexan    7160    7168
ppase    5829    6887
magnesium    2896    2407
compartment    3155    2969
compact    2889    2421
nonnodul    4583    5832
stunt    3020    2720
regular    3231    3041
imped    2751    2179
bidirect    5828    6886
b2    3014    2714
render    2899    2429
macrophomina_phaseolina    4471    5163
inexpens    2752    2180
gmcol1a    6566    6998
intric    2753    2181
regulon    5695    6719
gmexpb2    5830    6888
vertebr    3017    2717
cpp    7092    7139
gtp    3806    4214
algal    5046    6354
oligonucleotid    3229    3039
antibiosi    3493    3744
collabor    2747    2163
pe    5071    6404
northeast    3228    3035
perturb    2757    2164
immunoblot    2895    2406
mir393    5125    6458
mono    3049    2803
fodder    2894    2426
gmmyb84    6523    6982
ta    3929    4310
abundantli    2887    2419
templat    2903    2409
w1    4458    5141
cbb    6878    7064
cbf    5016    6266
extrus    2892    2424
accas    4586    5837
w2    6820    7023
ysl    6821    7042
acceptor    3443    3483
india    3021    2721
interrog    3018    2718
syringa    2900    2408
rpl    6974    7084
gmmyb    6853    7047
ia    4660    5905
percent    2898    2428
tabl    2901    2430
meiosi    3875    4266
cyclic    2891    2423
rag5    6999    7100
voz    6627    7007
fell    2906    2434
photochem    3495    3746
taqman    3586    3814
gmspx    7093    7141
d1b    3157    2971
abi3    3230    3040
gmugt    5475    6625
tailor    2902    2431
abolish    3353    3386
leafi    2754    2182
tac    5154    6568
chamber    3314    3234
subtract    2912    2438
crystal    2890    2422
morphogenesi    3050    2805
r6    3587    3815
unlink    3354    3387
arabl    2746    2175
euchromatin    3585    3813
parp    6897    7074
knox    6522    6979
bloom    3928    4304
specifi    3016    2716
mask    4269    5108
flx    2893    2425
predat    2910    2437
humid    3635    3845
y2h    3156    2970
obvious    2909    2436
appreci    2904    2432
tga    4457    5138
monophylet    2755    2159
wd    4630    5835
cutworm    3141    2846
switchgrass    4690    5941
cytotox    3307    3141
melt    2995    2550
arbuscul    3989    4396
concord    2989    2535
bar    3649    3808
pfam    3000    2555
sulfurylas    7112    7137
concurr    3175    2958
da    4261    4903
barcsoysnp6k    3650    3809
mileston    2997    2552
concomit    2852    2273
succin    3963    4294
heih    4890    6002
td    7024    7097
skp1    5903    6906
metabolon    5901    6895
h4    4260    4902
thr    4196    4810
daf    3820    4183
gab    4665    5867
automat    2849    2253
g2    3675    3856
weakli    2867    2286
malnutrit    3821    4182
weaken    3008    2563
tent    3148    2852
perfectli    2860    2280
devis    2853    2274
crack    5076    6333
indica    4891    6003
manifest    2994    2549
mention    2996    2551
microbiom    4898    6011
incid    2857    2278
sinorhizobium_meliloti    6928    7063
answer    2848    2271
dep    5103    6356
warrant    2866    2285
servic    3003    2558
supernodul    4445    5101
glucosyl    3917    4230
pepper    3676    3857
sign    5799    6790
unbias    3149    2853
transfect    3352    3232
safe    3176    2949
wu    3593    3781
propag    2861    2256
pl    4656    5839
moellendorffii    2859    2279
nineti    2999    2554
forrest    3801    4145
phd    5019    6212
grn    4873    5972
mo    7032    7099
eighteen    2854    2275
biofortif    2987    2544
gmft1a    5109    6359
coevolut    3505    3529
took    2863    2282
load    3351    3231
tube    3007    2562
col    3306    3140
multicellular    2998    2553
hplc    2993    2548
envelop    2992    2536
phenolog    3822    4184
ms1    5693    6660
exhaust    2855    2276
charg    3140    2845
pic    3146    2850
unintend    3310    3144
bombard    2850    2272
spectroscopi    3004    2559
unidentifi    2865    2284
mping    5822    6820
proteolyt    3308    3142
l1    4635    5836
yc    4080    4397
add    2847    2252
spray    5020    6213
erebp    3144    2819
birth    2988    2545
epsp    5803    6792
folat    6877    7020
agam    3174    2957
realiz    2862    2281
stomata    3147    2851
bentazon    6515    6947
gmnfya    7023    7096
ago1    5108    6358
underutil    3309    3143
allanto    6819    6995
rhythmic    4195    4809
submit    3006    2561
dozen    2990    2546
mir164    4455    5102
u6    5124    6431
napu    3145    2849
rd22    4677    5892
rule    3002    2557
ri    4892    6005
fifti    2856    2277
cad    5741    6718
unabl    2864    2283
gβ    3962    4289
nec    5723    6680
gmtga    6914    7062
earliest    2991    2547
agro    3592    3785
njcms1b    5463    6564
economi    3143    2848
withstand    3009    2537
stringent    3005    2560
dysfunct    3142    2847
gmdreb1    6876    7019
farmcpu    3651    3810
plethora    3001    2556
nlp    7046    7122
invalu    2858    2255
commit    2851    2254
culinari    3339    3060
gram    3982    4277
interleukin    2967    2376
mt4_0    5151    6408
isr    5492    6462
mysteri    2969    2378
cucurbit    6625    6952
gmshmt    6563    6897
heavili    3117    2685
gmshmt08    5899    6852
gmmpk6    7109    7123
unfortun    3129    2696
unfold    2976    2385
msp    5845    6823
rain    3511    3465
nd    4686    5853
phytochem    3121    2688
indehisc    5075    6226
carnivor    6572    6945
satellit    4683    5846
gmwrky40    7090    7085
barrel    3292    2974
isotop    3654    3743
rxp    5846    6824
combinatori    3126    2693
mir172c    7009    7067
conrad    5026    6013
conjunct    2962    2371
glyma03g03360    6561    6903
benchmark    3293    3007
gmbadh2    7008    7066
barbadens    3125    2692
gmfad3a    5844    6817
mikc    5152    6405
barc    4212    4786
invest    3507    3459
polyacrylamid    3122    2689
informat    2966    2375
conclusionw    2961    2370
miniatur    3509    3463
sequest    3512    3466
thiamin    6626    6953
pho1    7010    7068
nich    3120    2687
gmipk1    6880    6997
crude    3697    3831
nr    4096    4299
crrna    6879    7002
gmifs1    7025    7071
pigeon    3510    3464
reagent    3871    4146
nicotiana_benthamiana    5682    6593
toll    2975    2384
unstabl    2977    2386
cpk    7216    7201
valley    3513    3467
hazard    4186    4716
gmftl    6822    6976
viewer    4097    4300
too    3124    2691
fi    5827    6797
cyp93a1    7158    7136
strictli    2974    2383
apetala2    3115    2683
ecoregion    4633    5801
eco    3508    3462
profound    2971    2380
ornament    2970    2379
rhizoctonia_solani    6824    6978
foxglov    7001    7051
dt51    6573    6915
lpa1    5725    6648
downi    3977    4263
allopolyploidi    3291    3006
kenfeng    4985    5973
slight    2972    2381
m23    6813    6957
hh103    4634    5802
dirig    3698    3832
macro    3294    2975
fst    3981    4276
angl    5073    6235
rj1    7111    7128
sum    3343    3063
summer    3700    3819
magellan    4187    4717
sumoyl    6823    6977
diagnosi    3514    3468
maker    3295    3008
g1    3696    3830
suspens    3477    3267
localis    3119    2686
elf1b    5793    6692
embryogen    3978    4269
younger    4185    4715
zyd00006    3296    3009
fed    3341    3062
pufa    4542    5090
fc    4869    5877
fbox    7108    7127
laid    2968    2377
pustul    3127    2694
sonic    5493    6478
hyperaccumul    5730    6651
hydrophil    3118    2674
p2    4252    4852
p1b    4213    4787
acd    7192    7170
ottawa    5028    6016
qoil    5726    6649
ile    5074    6236
proteolysi    3653    3742
lima    3699    3818
adequ    3476    3271
ssc    5696    6624
imbib    4095    4298
adult    3114    2682
outgroup    3342    3058
immens    2964    2373
stearoyl    2973    2382
steroid    4217    4799
sinensi    4543    5091
unchang    3128    2695
argonaut    3980    4275
garden    3872    4147
medicago_sativa    7002    7052
inconsist    2965    2374
cytolog    2963    2372
js    5150    6407
gdp    5027    6015
defend    3340    3061
tca    3123    2690
argu    3116    2684
sn14    3904    3882
monolignol    3938    4162
gmgst    6541    6865
roughli    3077    2499
monooxygenas    3271    2816
hppd    7189    7147
adh1    6546    6871
areb    5672    6467
pistil    3945    4166
epidermi    3065    2487
adenosylmethionin    5100    6194
potyviru    3660    3519
ya    3949    4170
scar    5413    6394
meaning    3072    2494
interspers    3462    3155
eti    3901    3879
shortag    3273    2834
flesh    4247    4755
arthropod    7105    7082
flavour    3942    4164
heme    4253    4739
hybridis    4254    4757
chlorophyt    3655    3496
mold    3943    4155
xth    4880    5859
hope    3070    2492
intraspecif    4198    4400
embed    3264    2829
prolyl    5482    6425
toolbox    3258    2811
kilobas    3254    2823
rdr    6332    6837
shmt    5135    6270
stf1    7215    7189
saccharum    4111    4268
gmft4    5481    6424
liverwort    4591    5088
closer    3060    2483
siebold    3080    2502
pratens    3498    3263
mannitol    3269    2832
rpkm    3661    3520
fibr    3265    2813
redundantli    3256    2824
formul    3266    2830
daylength    3656    3516
cicer_arietinum    4902    5890
propeptid    5040    5959
mbw    7068    7070
motiv    3073    2495
spars    3274    2835
pyrosequenc    3255    2809
exom    3460    3172
gmpp2c    7106    7080
aberr    3057    2481
hypox    3703    3740
papain    3467    3177
bred    3456    3168
tumefacien    3276    2836
aae    5819    6681
gmsubpep    6905    6986
filament    3658    3497
sc18    6544    6867
cannabis_sativa    6652    6893
genistoid    3902    3880
nascent    4255    4766
mount    3465    3175
paleopolyploidi    4110    4272
pht1    4680    5798
puriti    3499    3264
calcar    3457    3169
intend    3268    2814
a1b    7113    7092
gmpt    5486    6435
ultrastructur    3471    3179
ultraviolet    3260    2826
gmric1    5099    6193
ferritin    4679    5797
gmnac085    5119    6233
jackson    4248    4756
gmubi    5673    6460
hefeng25    5120    6234
accessori    5788    6645
gmmlo    7114    7093
shikim    3470    3178
explan    3066    2488
triterpen    5790    6646
uniconazol    7115    7094
iia    3937    4161
incub    4113    4274
mrmlm    4475    4880
pyrophosph    3468    3146
flavanon    4112    4273
py    6543    6866
zh    3939    4163
jag1    7034    7054
fad3c    4879    5858
firstli    3067    2489
societi    3257    2810
uneven    3085    2507
mtd720    6542    6851
necrotroph    3074    2496
tryptophan    3259    2825
pack    5789    6636
abi4    7214    7188
gaut    5480    6423
mega    3270    2815
tonoplast    3275    2817
whilst    3087    2470
ioniz    3071    2493
thioredoxin    3084    2506
hap    5782    6643
dedic    3062    2485
vesicular    3500    3265
atg    5178    6393
subtl    3082    2504
detach    4276    4838
pb    3944    4165
skeleton    3455    3167
wealth    3086    2508
pol    4629    5126
vicia    3948    4169
conclusionour    3061    2484
gmakt1    7033    7049
symrk    4681    5799
nnm    6906    6990
ambient    4109    4271
mapkk    4277    4805
irregular    4876    5848
dongnong594    3459    3171
sumo    6545    6868
seventeen    3079    2501
dimens    3458    3170
bak1    3940    4153
thrip    5783    6634
hc    4628    5111
metagenom    4592    5089
bank    3261    2827
delin    3063    2469
quench    3947    4168
see    3272    2833
sepal    3469    3157
herbal    4474    4879
symbol    3083    2505
wgt    5101    6190
kasi    5821    6674
herb    3069    2491
anatom    3058    2482
dissemin    3262    2812
rape    3903    3881
incognita    3497    3251
coumar    4590    5087
dwarfism    3657    3517
sessil    3078    2500
pharmacolog    3076    2498
gamet    4473    4878
github    3267    2831
ea    5820    6682
methylom    3464    3174
decarboxylas    3941    4154
manganes    3463    3156
gaertn    3068    2490
eastern    3900    3878
nutraceut    3466    3176
plastidi    3946    4167
gmfad3    7188    7146
colletotrichum    5495    6436
vigna_radiata    4877    5849
electrolyt    3064    2486
otherwis    3075    2497
gmchr5    7035    7055
bamboo    6540    6864
lox1    7107    7083
ataf1    3059    2468
orang    3659    3518
tmd    4249    4744
desatur    5496    6437
slower    3081    2503
gall    3461    3173
drug    3263    2828
window    3088    2471
lpaat    5900    6815
intechopen    3205    2629
ank    6804    6850
reinhardtii    3640    3395
bsr    5158    6262
gmsos1    5841    6678
c08    4672    5113
buckwheat    7161    7112
pearl    5143    6208
gmptf1    7005    6991
ankyrin    3418    2981
brows    3184    2609
a17    5136    6202
breakthrough    3183    2608
apas    7086    7043
pericycl    3958    3893
zp    4579    4866
inadequ    3203    2627
rk    7168    7119
photo    3959    3894
incept    3204    2628
rl    4632    4954
oleracea    3690    3509
ncl    5780    6573
zq    6875    6899
hetero    3688    3507
wave    3440    3001
unifi    3226    2598
brassinolid    3421    2984
heynh    3202    2626
nod26    5842    6671
gy4    6811    6876
overrepres    3433    2995
return    3436    2966
rwc    3647    3401
pep    5106    5983
particl    3434    2996
nlr    5836    6667
indian    3689    3508
alcl3    5013    5851
hma    6874    6898
hpl    7165    7116
aeschynomen    5837    6673
bionano    5138    6204
rex    6810    6875
biomark    3683    3503
obstacl    3213    2637
guard    3645    3399
phaseoloid    4209    4288
hemicellulos    3427    2989
archaea    3419    2982
reorgan    3218    2642
again    3182    2595
acetyltransferas    3908    3820
hutcheson    4453    4783
phi    4654    4956
nonautonom    5142    6207
gmwrki    6873    6892
ifr    5149    6217
neo    3432    2994
zigongdongd    3961    3896
nonetheless    3212    2636
repositori    3435    2997
rotat    3219    2643
arabinogalactan    3682    3502
nramp    5469    6324
ancestri    3681    3501
gsd    7039    7012
oxford    3691    3510
never    3211    2635
ontario    3214    2638
bona    3420    2983
anaerob    3641    3396
blup    3909    3821
aminobutyr    3417    2980
bat93    3415    2978
oxidoreductas    3215    2639
hx3    5897    6728
granul    3687    3506
apertur    5137    6203
circuit    3637    3393
dcl1    4451    4781
smart    3437    2998
coastal    7037    7010
cmlm    4208    4293
metadata    6809    6874
clv1    5051    5902
clinic    4653    4960
smallest    3222    2645
clavata3    3186    2611
textur    3960    3895
electr    3197    2621
embryophyt    3198    2622
endocytosi    5140    6199
steadili    3224    2647
chx    4673    5114
liquiritigenin    7040    7013
rapa    3217    2641
cd1    6565    6833
gmfulc    7163    7114
sfw    7011    6999
enolas    4674    5115
chew    5017    5861
pinacea    7007    6992
foreign    3644    3398
ensembl    5159    6263
contigu    3956    3891
charcoal    4872    5767
chanc    3422    2985
moso    6805    6869
centr    3684    3504
cdss    7087    7044
curl    3191    2615
gmft    5105    5982
colleagu    3187    2596
populus_trichocarpa    5499    6397
fossil    3201    2625
consortium    3188    2612
dioxid    3685    3505
fredii    3686    3491
contract    3423    2986
conveni    3189    2613
macrosynteni    3639    3394
subtrop    3225    2648
configur    3642    3397
thioesteras    4454    4764
kennedi    5160    6264
seek    3220    2644
tianlong    4271    4725
ionic    3206    2630
kept    3429    2991
kernel    3646    3400
sequestr    3648    3402
maldi    3209    2633
glycinol    7088    7045
dx    7004    6987
e1lb    6516    6803
mir    5141    6206
mir1510    5898    6733
counteract    3190    2614
e9    5840    6670
detoxifi    3194    2618
glutamyl    5468    6323
loosen    4157    4224
earth    3416    2979
eas    3196    2620
gmmapk    5896    6732
episod    4452    4782
genorm    3426    2988
john    3207    2631
finder    7038    7011
phylogen    3216    2640
calvin    5104    5981
tata    3439    3000
deepli    3193    2617
fad3b    5148    6216
cyc    5838    6676
defensin    5839    6677
cct    4450    4780
soyasapogenol    4675    5116
pyralid    6806    6870
pt    5734    6533
gmpap    7089    7046
soyasnp    3692    3511
interconnect    3428    2990
calnexin    7162    7113
decod    3192    2616
myc    3431    2993
deacetylas    3424    2965
lbd    7213    7173
calcineurin    3185    2610
tail    3438    2999
fashion    3200    2624
phr1    5107    5984
dcl2    4631    4953
ultra    3693    3512
soften    5843    6679
un    3694    3513
gmpt5    7164    7115
ferredoxin    5694    6444
fide    3425    2987
gmnac30    6808    6873
disciplin    3195    2619
soc    4578    4863
mti    6998    6975
ms8    7166    7117
snpp    7169    7120
curv    3638    3382
msrb    7167    7118
ex    3643    3383
spike    4270    4724
mta    5733    6532
lie    3208    2632
merg    3210    2634
mp    7006    6988
ester    3957    3892
spodoptera    3223    2646
ts    7170    7121
simpli    3221    2597
exponenti    3199    2623
demethyl    4207    4292
snf2    7041    7014
lesser    3430    2992
ccch    5139    6205
ps    4655    4961
deoxyisoflavonoid    6814    6827
dephosphoryl    3362    2750
kaspar    4180    4175
hexaploid    3618    3197
suinong    3626    3204
dicarboxyl    5053    5857
gasa    6592    6794
mandarin    6966    6902
supplementari    4599    4845
dge    4737    5096
dinucleotid    3884    3559
galactos    3617    3196
pretreat    4669    4907
decomposit    4594    4841
malonyl    5477    6231
racem    7211    7157
svm    4600    4846
g3p    6986    6909
inbreed    3374    2760
jiyu    7206    7153
heterozygot    3370    2756
kar    7030    6963
anthocyanidin    3877    3552
deviat    3600    3182
demograph    3616    3195
manur    3380    2765
ol    7210    7156
apetala1    3609    3189
malu    3953    3826
dfr2    5470    6214
deoxi    5795    6475
unanchor    3628    3206
discolor    5146    5997
distachyon    3363    2735
kinom    5701    6416
engag    3885    3560
xag    5704    6418
smrt    4479    4732
footprint    4182    4177
epoxi    7202    7149
lignif    3892    3565
imbal    3372    2758
illumin    3371    2757
oxal    4181    4176
ev    3886    3561
execut    3365    2751
pyrrolin    3624    3202
kunitz    3377    2763
oxylipin    5703    6417
